Date,Open,High,Low,Close,Adj Close,Volume
7/9/1991,35.720001,35.720001,35.720001,35.720001,20.836735,0
7/10/1991,35.68,35.68,35.68,35.68,20.813404,0
7/11/1991,35.799999,35.799999,35.799999,35.799999,20.883404,0
7/12/1991,36.110001,36.110001,36.110001,36.110001,21.064245,0
7/15/1991,36.32,36.32,36.32,36.32,21.186743,0
7/16/1991,36.240002,36.240002,36.240002,36.240002,21.140072,0
7/17/1991,36.209999,36.209999,36.209999,36.209999,21.12258,0
7/18/1991,36.610001,36.610001,36.610001,36.610001,21.355911,0
7/19/1991,36.5,36.5,36.5,36.5,21.291742,0
7/22/1991,36.380001,36.380001,36.380001,36.380001,21.221741,0
7/23/1991,36.049999,36.049999,36.049999,36.049999,21.029236,0
7/24/1991,35.970001,35.970001,35.970001,35.970001,20.982574,0
7/25/1991,36.200001,36.200001,36.200001,36.200001,21.116739,0
7/26/1991,36.189999,36.189999,36.189999,36.189999,21.110912,0
7/29/1991,36.41,36.41,36.41,36.41,21.239244,0
7/30/1991,36.75,36.75,36.75,36.75,21.437576,0
7/31/1991,36.860001,36.860001,36.860001,36.860001,21.501732,0
8/1/1991,36.799999,36.799999,36.799999,36.799999,21.466732,0
8/2/1991,36.810001,36.810001,36.810001,36.810001,21.472572,0
8/5/1991,36.630001,36.630001,36.630001,36.630001,21.367575,0
8/6/1991,37.169998,37.169998,37.169998,37.169998,21.682575,0
8/7/1991,37.18,37.18,37.18,37.18,21.688408,0
8/8/1991,37.07,37.07,37.07,37.07,21.624239,0
8/9/1991,36.869999,36.869999,36.869999,36.869999,21.507576,0
8/12/1991,36.959999,36.959999,36.959999,36.959999,21.560074,0
8/13/1991,37.110001,37.110001,37.110001,37.110001,21.647581,0
8/14/1991,37.150002,37.150002,37.150002,37.150002,21.670906,0
8/15/1991,37.099998,37.099998,37.099998,37.099998,21.641741,0
8/16/1991,36.75,36.75,36.75,36.75,21.437576,0
8/19/1991,35.889999,35.889999,35.889999,35.889999,20.935907,0
8/20/1991,36.169998,36.169998,36.169998,36.169998,21.09923,0
8/21/1991,37.23,37.23,37.23,37.23,21.717575,0
8/22/1991,37.299999,37.299999,37.299999,37.299999,21.758411,0
8/23/1991,37.57,37.57,37.57,37.57,21.915918,0
8/26/1991,37.549999,37.549999,37.549999,37.549999,21.904236,0
8/27/1991,37.48,37.48,37.48,37.48,21.863411,0
8/28/1991,37.830002,37.830002,37.830002,37.830002,22.067583,0
8/29/1991,37.810001,37.810001,37.810001,37.810001,22.055914,0
8/30/1991,37.720001,37.720001,37.720001,37.720001,22.003414,0
9/3/1991,37.419998,37.419998,37.419998,37.419998,21.828409,0
9/4/1991,37.220001,37.220001,37.220001,37.220001,21.711748,0
9/5/1991,37.130001,37.130001,37.130001,37.130001,21.659239,0
9/6/1991,37.130001,37.130001,37.130001,37.130001,21.659239,0
9/9/1991,37.09,37.09,37.09,37.09,21.635899,0
9/10/1991,36.73,36.73,36.73,36.73,21.425913,0
9/11/1991,36.77,36.77,36.77,36.77,21.44924,0
9/12/1991,36.990002,36.990002,36.990002,36.990002,21.577579,0
9/13/1991,36.630001,36.630001,36.630001,36.630001,21.367575,0
9/16/1991,36.849998,36.849998,36.849998,36.849998,21.495914,0
9/17/1991,36.830002,36.830002,36.830002,36.830002,21.484243,0
9/18/1991,36.959999,36.959999,36.959999,36.959999,21.560074,0
9/19/1991,37.029999,37.029999,37.029999,37.029999,21.600916,0
9/20/1991,37.07,37.07,37.07,37.07,21.624239,0
9/23/1991,36.880001,36.880001,36.880001,36.880001,21.513409,0
9/24/1991,37.060001,37.060001,37.060001,37.060001,21.618412,0
9/25/1991,36.990002,36.990002,36.990002,36.990002,21.577579,0
9/26/1991,36.77,36.77,36.77,36.77,21.554127,0
9/27/1991,36.709999,36.709999,36.709999,36.709999,21.518957,0
9/30/1991,36.91,36.91,36.91,36.91,21.636189,0
10/1/1991,37.029999,37.029999,37.029999,37.029999,21.706526,0
10/2/1991,36.950001,36.950001,36.950001,36.950001,21.659647,0
10/3/1991,36.59,36.59,36.59,36.59,21.448618,0
10/4/1991,36.299999,36.299999,36.299999,36.299999,21.278618,0
10/7/1991,36.139999,36.139999,36.139999,36.139999,21.18483,0
10/8/1991,36.240002,36.240002,36.240002,36.240002,21.243443,0
10/9/1991,35.880001,35.880001,35.880001,35.880001,21.032423,0
10/10/1991,36.240002,36.240002,36.240002,36.240002,21.243443,0
10/11/1991,36.330002,36.330002,36.330002,36.330002,21.296209,0
10/14/1991,36.799999,36.799999,36.799999,36.799999,21.571716,0
10/15/1991,37.23,37.23,37.23,37.23,21.823774,0
10/16/1991,37.41,37.41,37.41,37.41,21.929291,0
10/17/1991,37.32,37.32,37.32,37.32,21.876532,0
10/18/1991,37.32,37.32,37.32,37.32,21.876532,0
10/21/1991,37.150002,37.150002,37.150002,37.150002,21.77689,0
10/22/1991,36.939999,36.939999,36.939999,36.939999,21.653784,0
10/23/1991,36.950001,36.950001,36.950001,36.950001,21.659647,0
10/24/1991,36.669998,36.669998,36.669998,36.669998,21.495499,0
10/25/1991,36.599998,36.599998,36.599998,36.599998,21.454473,0
10/28/1991,37.110001,37.110001,37.110001,37.110001,21.753424,0
10/29/1991,37.299999,37.299999,37.299999,37.299999,21.864801,0
10/30/1991,37.439999,37.439999,37.439999,37.439999,21.946865,0
10/31/1991,37.400002,37.400002,37.400002,37.400002,21.923431,0
11/1/1991,37.290001,37.290001,37.290001,37.290001,21.858944,0
11/4/1991,37.220001,37.220001,37.220001,37.220001,21.817911,0
11/5/1991,37.09,37.09,37.09,37.09,21.741703,0
11/6/1991,37.220001,37.220001,37.220001,37.220001,21.817911,0
11/7/1991,37.580002,37.580002,37.580002,37.580002,22.028938,0
11/8/1991,37.52,37.52,37.52,37.52,21.993765,0
11/11/1991,37.549999,37.549999,37.549999,37.549999,22.011351,0
11/12/1991,37.889999,37.889999,37.889999,37.889999,22.210649,0
11/13/1991,37.959999,37.959999,37.959999,37.959999,22.251696,0
11/14/1991,37.939999,37.939999,37.939999,37.939999,22.239971,0
11/15/1991,36.560001,36.560001,36.560001,36.560001,21.431036,0
11/18/1991,36.810001,36.810001,36.810001,36.810001,21.577579,0
11/19/1991,36.810001,36.810001,36.810001,36.810001,21.577579,0
11/20/1991,36.18,36.18,36.18,36.18,21.208273,0
11/21/1991,36.330002,36.330002,36.330002,36.330002,21.296209,0
11/22/1991,35.970001,35.970001,35.970001,35.970001,21.085178,0
11/25/1991,35.900002,35.900002,35.900002,35.900002,21.044144,0
11/26/1991,36.150002,36.150002,36.150002,36.150002,21.190689,0
11/27/1991,36.02,36.02,36.02,36.02,21.114485,0
11/29/1991,35.900002,35.900002,35.900002,35.900002,21.044144,0
12/2/1991,36.5,36.5,36.5,36.5,21.395864,0
12/3/1991,36.459999,36.459999,36.459999,36.459999,21.372414,0
12/4/1991,36.380001,36.380001,36.380001,36.380001,21.32551,0
12/5/1991,36.130001,36.130001,36.130001,36.130001,21.17897,0
12/6/1991,36.290001,36.290001,36.290001,36.290001,21.272751,0
12/9/1991,36.220001,36.220001,36.220001,36.220001,21.231733,0
12/10/1991,36.189999,36.189999,36.189999,36.189999,21.21414,0
12/11/1991,36.169998,36.169998,36.169998,36.169998,21.202398,0
12/12/1991,36.540001,36.540001,36.540001,36.540001,21.419298,0
12/13/1991,36.82,36.82,36.82,36.82,21.583441,0
12/16/1991,36.82,36.82,36.82,36.82,21.583441,0
12/17/1991,36.669998,36.669998,36.669998,36.669998,21.495499,0
